company1Label,relationLabel,company2Label,relation,company1,company2
Boeing,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q66,http://www.wikidata.org/entity/Q219635
Intel Corporation,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q248,http://www.wikidata.org/entity/Q219635
Lockheed Martin,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q7240,http://www.wikidata.org/entity/Q219635
Adobe,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q11463,http://www.wikidata.org/entity/Q219635
Texas Instruments,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q193412,http://www.wikidata.org/entity/Q219635
Pfizer,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q206921,http://www.wikidata.org/entity/Q219635
ConocoPhillips,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q214763,http://www.wikidata.org/entity/Q219635
Verizon Communications,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q467752,http://www.wikidata.org/entity/Q219635
Gilead Sciences,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q663596,http://www.wikidata.org/entity/Q219635
Booking Holdings,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q18674747,http://www.wikidata.org/entity/Q219635
Apple Inc.,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q312,http://www.wikidata.org/entity/Q219635
Meta,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q380,http://www.wikidata.org/entity/Q219635
Microsoft,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q2283,http://www.wikidata.org/entity/Q219635
Amazon,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q3884,http://www.wikidata.org/entity/Q219635
The Walt Disney Company,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q7414,http://www.wikidata.org/entity/Q219635
AT&T,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q35476,http://www.wikidata.org/entity/Q219635
McDonald's,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q38076,http://www.wikidata.org/entity/Q219635
General Electric,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q54173,http://www.wikidata.org/entity/Q219635
AMD,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q128896,http://www.wikidata.org/entity/Q219635
Cisco,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q219635
Nvidia,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q182477,http://www.wikidata.org/entity/Q219635
JPMorgan Chase,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q192314,http://www.wikidata.org/entity/Q219635
Goldman Sachs,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q193326,http://www.wikidata.org/entity/Q219635
American Express,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q194360,http://www.wikidata.org/entity/Q219635
Procter & Gamble,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q212405,http://www.wikidata.org/entity/Q219635
Citigroup,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q219508,http://www.wikidata.org/entity/Q219635
Merck & Co.,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q247489,http://www.wikidata.org/entity/Q219635
Visa Inc.,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q328840,http://www.wikidata.org/entity/Q219635
Johnson & Johnson,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q333718,http://www.wikidata.org/entity/Q219635
Morgan Stanley,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q334204,http://www.wikidata.org/entity/Q219635
PepsiCo,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q334800,http://www.wikidata.org/entity/Q219635
Caterpillar Inc.,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q459965,http://www.wikidata.org/entity/Q219635
Q483551,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q483551,http://www.wikidata.org/entity/Q219635
Bank of America,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q487907,http://www.wikidata.org/entity/Q219635
Costco,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q715583,http://www.wikidata.org/entity/Q219635
Wells Fargo,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q744149,http://www.wikidata.org/entity/Q219635
The Home Depot,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q864407,http://www.wikidata.org/entity/Q219635
Philip Morris International,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q1852556,http://www.wikidata.org/entity/Q219635
The Coca-Cola Company,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q3295867,http://www.wikidata.org/entity/Q219635
AbbVie,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q14662364,http://www.wikidata.org/entity/Q219635
Berkshire Hathaway,http://www.wikidata.org/prop/direct/P1830,American Express,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q217583,http://www.wikidata.org/entity/Q194360
AbbVie,http://www.wikidata.org/prop/direct/P807,Abbott Laboratories,http://www.wikidata.org/prop/direct/P807,http://www.wikidata.org/entity/Q14662364,http://www.wikidata.org/entity/Q306764
Meta,http://www.wikidata.org/prop/direct/P1951,Goldman Sachs,http://www.wikidata.org/prop/direct/P1951,http://www.wikidata.org/entity/Q380,http://www.wikidata.org/entity/Q193326
Berkshire Hathaway,http://www.wikidata.org/prop/direct/P1830,Wells Fargo,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q217583,http://www.wikidata.org/entity/Q744149
Berkshire Hathaway,http://www.wikidata.org/prop/direct/P1830,Q37156,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q217583,http://www.wikidata.org/entity/Q37156
Berkshire Hathaway,http://www.wikidata.org/prop/direct/P1830,The Coca-Cola Company,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q217583,http://www.wikidata.org/entity/Q3295867
Abbott Laboratories,http://www.wikidata.org/prop/direct/P156,AbbVie,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q306764,http://www.wikidata.org/entity/Q14662364
Morgan Stanley,http://www.wikidata.org/prop/direct/P1830,Netflix,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q334204,http://www.wikidata.org/entity/Q907311
Q37156,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q37156,http://www.wikidata.org/entity/Q217583
American Express,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q194360,http://www.wikidata.org/entity/Q217583
Bank of America,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q487907,http://www.wikidata.org/entity/Q217583
Wells Fargo,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q744149,http://www.wikidata.org/entity/Q217583
The Coca-Cola Company,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q3295867,http://www.wikidata.org/entity/Q217583
Apple Inc.,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q312,http://www.wikidata.org/entity/Q217583
