Source,Target,Relation_Type
Q66,Q483915,P361-P527
Q248,Q483915,P361-P527
Q248,Q1113804,P361-P527
Q66,Q7240,P1830-P127
Q66,Q7240,P1830-P749
Q66,Q7240,P1830-P127
Q248,Q642189,P3320-P1416
Q66,Q898208,P361-P527
Q248,Q898208,P361-P527
Q248,Q11463,P361-P527
Q248,Q11463,P463-P527
Q66,Q663596,P127-P1830
Q248,Q1159256,P127-P1830
Q248,Q338825,P361-P527
Q66,Q338825,P361-P527
Q248,Q663596,P127-P1830
Q66,Q1159256,P127-P1830
Q66,Q470517,P361-P527
Q248,Q470517,P361-P527
Q66,Q470517,P3320-P108
Q66,Q467752,P127-P1830
Q248,Q467752,P127-P1830
Q66,Q467752,P361-P527
Q248,Q66,P361-P527
Q248,Q467752,P361-P527
Q248,Q66,P3320-P1416
Q66,Q544847,P3320-P108
Q66,Q544847,P3320-P1416
Q66,Q248,P127-P1830
Q248,Q544847,P361-P527
Q66,Q248,P361-P527
Q66,Q219635,P127-P127
Q66,Q219635,P127-P127
Q248,Q219508,P127-P1830
Q248,Q219635,P127-P127
Q248,Q219635,P127-P127
Q66,Q7414,P361-P527
Q66,Q7414,P361-P527
Q248,Q7414,P361-P527
Q248,Q7414,P361-P527
Q248,Q7414,P127-P1830
Q66,Q7414,P127-P1830
Q66,Q334800,P127-P1830
Q66,Q219508,P127-P1830
Q66,Q38076,P31-P5869
Q66,Q247489,P361-P527
Q248,Q334800,P127-P1830
Q248,Q38076,P361-P527
Q248,Q38076,P361-P527
Q248,Q38076,P31-P5869
Q248,Q334800,P361-P527
Q66,Q38076,P361-P527
Q66,Q38076,P361-P527
Q248,Q194360,P361-P527
Q248,Q194360,P127-P1830
Q66,Q459965,P361-P527
Q66,Q941127,P361-P527
Q248,Q941127,P361-P527
Q248,Q247489,P361-P527
Q66,Q194360,P127-P1830
Q66,Q194360,P361-P527
Q66,Q193326,P361-P527
Q66,Q334204,P361-P527
Q248,Q459965,P361-P527
Q248,Q193326,P361-P527
Q248,Q3511885,P361-P527
Q66,Q173395,P361-P527
Q66,Q37156,P361-P527
Q66,Q744149,P127-P1830
Q248,Q334204,P361-P527
Q248,Q744149,P127-P1830
Q66,Q3295867,P361-P527
Q66,Q37156,P127-P1830
Q66,Q319642,P361-P527
Q248,Q3295867,P361-P527
Q248,Q3295867,P127-P1830
Q248,Q37156,P361-P527
Q248,Q37156,P127-P1830
Q248,Q173395,P361-P527
Q248,Q173395,P463-P112
Q248,Q173395,P463-P527
Q248,Q319642,P361-P527
Q248,Q173395,P361-P527
Q248,Q37156,P463-P527
Q248,Q37156,P463-P527
Q66,Q3295867,P127-P1830
Q66,Q212405,P127-P1830
Q248,Q212405,P361-P527
Q248,Q212405,P127-P1830
Q66,Q212405,P361-P527
Q66,Q2103926,P361-P527
Q248,Q2103926,P361-P527
Q248,Q128896,P463-P527
Q66,Q333718,P127-P1830
Q248,Q715583,P361-P527
Q66,Q864407,P361-P527
Q66,Q156238,P127-P1830
Q248,Q864407,P361-P527
Q248,Q333718,P361-P527
Q248,Q333718,P127-P1830
Q66,Q907311,P127-P1830
Q248,Q907311,P127-P1830
Q248,Q156238,P127-P1830
Q66,Q328840,P361-P527
Q66,Q333718,P361-P527
Q248,Q907311,P463-P112
Q248,Q907311,P463-P527
Q248,Q328840,P361-P527
Q248,Q19900,P127-P1830
Q66,Q483551,P361-P527
Q66,Q19900,P127-P1830
Q248,Q483551,P361-P527
Q248,Q192314,P361-P527
Q248,Q192314,P127-P1830
Q66,Q20800404,P127-P1830
Q66,Q192314,P127-P1830
Q66,Q192314,P361-P527
Q248,Q478214,P361-P527
Q248,Q555925,P361-P527
Q248,Q555925,P463-P527
Q66,Q380,P361-P527
Q66,Q380,P361-P527
Q66,Q3884,P127-P1830
Q248,Q20800404,P361-P527
Q248,Q380,P361-P527
Q248,Q380,P361-P527
Q248,Q380,P463-P527
Q248,Q312,P361-P527
Q248,Q312,P127-P1830
Q248,Q312,P31-P5869
Q66,Q312,P361-P527
Q248,Q312,P361-P527
Q248,Q312,P463-P527
Q248,Q2283,P361-P527
Q248,Q2283,P463-P112
Q248,Q2283,P463-P527
Q248,Q20800404,P127-P1830
Q248,Q380,P361-P527
Q248,Q182477,P127-P1830
Q66,Q312,P127-P1830
Q66,Q312,P31-P5869
Q248,Q3884,P127-P1830
Q248,Q2283,P361-P527
Q248,Q2283,P361-P527
Q248,Q2283,P127-P1830
Q248,Q2283,P355-P127
Q248,Q2283,P355-P749
Q66,Q2283,P127-P1830
Q248,Q182477,P361-P527
Q248,Q182477,P463-P527
Q248,Q3884,P361-P527
Q248,Q3884,P463-P112
Q248,Q3884,P463-P527
Q66,Q2283,P361-P527
Q66,Q2283,P361-P527
Q66,Q182477,P127-P1830
Q312,Q483915,P361-P527
Q312,Q1113804,P361-P527
Q312,Q898208,P361-P527
Q312,Q11463,P361-P527
Q312,Q1159256,P127-P1830
Q312,Q663596,P127-P1830
Q312,Q470517,P361-P527
Q312,Q338825,P361-P527
Q312,Q66,P361-P527
Q312,Q467752,P127-P1830
Q312,Q467752,P361-P527
Q312,Q248,P361-P527
Q312,Q544847,P361-P527
Q312,Q219508,P127-P1830
Q312,Q248,P127-P1830
Q312,Q7414,P127-P1830
Q312,Q7414,P3320-P108
Q312,Q219635,P127-P127
Q312,Q219635,P127-P127
Q312,Q7414,P361-P527
Q312,Q7414,P361-P527
Q312,Q334800,P361-P527
Q312,Q334800,P127-P1830
Q312,Q247489,P361-P527
Q312,Q38076,P31-P5869
Q312,Q194360,P127-P1830
Q312,Q194360,P127-P1830
Q312,Q194360,P361-P527
Q312,Q38076,P361-P527
Q312,Q38076,P361-P527
Q312,Q941127,P361-P527
Q312,Q193326,P361-P527
Q312,Q744149,P127-P1830
Q312,Q744149,P127-P1830
Q312,Q459965,P361-P527
Q312,Q334204,P361-P527
Q312,Q37156,P127-P1830
Q312,Q37156,P169-P108
Q312,Q37156,P127-P1830
Q312,Q37156,P361-P527
Q312,Q3295867,P127-P1830
Q312,Q3295867,P127-P1830
Q312,Q2103926,P361-P527
Q312,Q3511885,P361-P527
Q312,Q173395,P361-P527
Q312,Q173395,P361-P527
Q312,Q3295867,P361-P527
Q312,Q319642,P361-P527
Q312,Q864407,P361-P527
Q312,Q212405,P361-P527
Q312,Q212405,P127-P1830
Q312,Q715583,P361-P527
Q312,Q907311,P361-P527
Q312,Q156238,P127-P1830
Q312,Q333718,P127-P1830
Q312,Q907311,P127-P1830
Q312,Q333718,P361-P527
Q312,Q328840,P361-P527
Q312,Q483551,P361-P527
Q312,Q192314,P127-P1830
Q312,Q20800404,P127-P1830
Q312,Q478214,P361-P527
Q312,Q20800404,P361-P527
Q312,Q20800404,P361-P527
Q312,Q19900,P127-P1830
Q312,Q192314,P361-P527
Q312,Q217583,P127-P127
Q312,Q555925,P361-P527
Q312,Q3884,P127-P1830
Q312,Q3884,P361-P527
Q312,Q3884,P361-P527
Q312,Q182477,P127-P1830
Q312,Q380,P361-P527
Q312,Q380,P361-P527
Q312,Q380,P361-P527
Q312,Q380,P361-P527
Q312,Q2283,P127-P1830
Q312,Q2283,P361-P527
Q312,Q2283,P361-P527
Q312,Q2283,P361-P527
Q312,Q2283,P361-P527
Q312,Q182477,P361-P527
Q380,Q338825,P361-P527
Q380,Q219635,P127-P127
Q380,Q219635,P127-P127
Q380,Q219635,P1951-P127
Q380,Q7414,P361-P527
Q380,Q334800,P3320-P108
Q380,Q38076,P361-P527
Q380,Q38076,P31-P5869
Q380,Q334204,P361-P527
Q380,Q193326,P1951-P1951
Q380,Q907311,P361-P527
Q380,Q907311,P361-P527
Q380,Q20800404,P361-P527
Q380,Q312,P31-P5869
Q380,Q3884,P361-P527
Q380,Q3884,P361-P527
Q380,Q312,P361-P527
Q380,Q312,P361-P527
Q380,Q2283,P361-P527
Q380,Q2283,P361-P527
Q2283,Q483915,P361-P527
Q2283,Q1113804,P361-P527
Q2283,Q898208,P361-P527
Q2283,Q11463,P361-P527
Q2283,Q663596,P127-P1830
Q2283,Q338825,P355-P112
Q2283,Q338825,P355-P127
Q2283,Q338825,P355-P749
Q2283,Q338825,P361-P527
Q2283,Q1159256,P127-P1830
Q2283,Q66,P361-P527
Q2283,Q467752,P127-P1830
Q2283,Q467752,P361-P527
Q2283,Q470517,P361-P527
Q2283,Q248,P127-P1830
Q2283,Q248,P355-P749
Q2283,Q544847,P361-P527
Q2283,Q248,P1830-P749
Q2283,Q219508,P127-P1830
Q2283,Q248,P361-P527
Q2283,Q219635,P127-P127
Q2283,Q219635,P127-P127
Q2283,Q219635,P127-P127
Q2283,Q219635,P127-P127
Q2283,Q334800,P3320-P108
Q2283,Q7414,P361-P527
Q2283,Q7414,P361-P527
Q2283,Q7414,P127-P1830
Q2283,Q334800,P361-P527
Q2283,Q247489,P3320-P108
Q2283,Q194360,P361-P527
Q2283,Q334800,P127-P1830
Q2283,Q247489,P361-P527
Q2283,Q38076,P31-P5869
Q2283,Q38076,P361-P527
Q2283,Q38076,P361-P527
Q2283,Q459965,P361-P527
Q2283,Q193326,P361-P527
Q2283,Q941127,P361-P527
Q2283,Q194360,P127-P1830
Q2283,Q3511885,P361-P527
Q2283,Q744149,P127-P1830
Q2283,Q334204,P361-P527
Q2283,Q173395,P361-P527
Q2283,Q173395,P361-P527
Q2283,Q37156,P127-P1830
Q2283,Q54173,P3320-P108
Q2283,Q319642,P361-P527
Q2283,Q3295867,P361-P527
Q2283,Q2103926,P361-P527
Q2283,Q37156,P361-P527
Q2283,Q3295867,P127-P1830
Q2283,Q212405,P127-P1830
Q2283,Q212405,P3320-P108
Q2283,Q212405,P361-P527
Q2283,Q864407,P361-P527
Q2283,Q907311,P361-P527
Q2283,Q333718,P127-P1830
Q2283,Q715583,P361-P527
Q2283,Q156238,P127-P1830
Q2283,Q333718,P361-P527
Q2283,Q328840,P361-P527
Q2283,Q328840,P3320-P1416
Q2283,Q192314,P361-P527
Q2283,Q907311,P127-P1830
Q2283,Q192314,P127-P1830
Q2283,Q483551,P361-P527
Q2283,Q217583,P112-P1830
Q2283,Q19900,P127-P1830
Q2283,Q19900,P169-P1416
Q2283,Q19900,P3320-P1416
Q2283,Q478214,P361-P527
Q2283,Q20800404,P127-P1830
Q2283,Q20800404,P361-P527
Q2283,Q20800404,P361-P527
Q2283,Q3884,P127-P1830
Q2283,Q3884,P361-P527
Q2283,Q3884,P361-P527
Q2283,Q312,P127-P1830
Q2283,Q312,P31-P5869
Q2283,Q555925,P361-P527
Q2283,Q380,P361-P527
Q2283,Q380,P361-P527
Q2283,Q380,P361-P527
Q2283,Q380,P361-P527
Q2283,Q312,P361-P527
Q2283,Q312,P361-P527
Q2283,Q312,P361-P527
Q2283,Q182477,P361-P527
Q2283,Q182477,P127-P1830
Q3884,Q1113804,P361-P527
Q3884,Q11463,P361-P527
Q3884,Q11463,P463-P527
Q3884,Q1159256,P127-P1830
Q3884,Q663596,P127-P1830
Q3884,Q338825,P361-P527
Q3884,Q467752,P127-P1830
Q3884,Q248,P127-P1830
Q3884,Q248,P463-P112
Q3884,Q248,P463-P527
Q3884,Q544847,P361-P527
Q3884,Q219508,P127-P1830
Q3884,Q219635,P127-P127
Q3884,Q219635,P127-P127
Q3884,Q7414,P361-P527
Q3884,Q334800,P127-P1830
Q3884,Q334800,P361-P527
Q3884,Q334800,P3320-P108
Q3884,Q334800,P3320-P1416
Q3884,Q38076,P361-P527
Q3884,Q7414,P127-P1830
Q3884,Q38076,P31-P5869
Q3884,Q194360,P127-P1830
Q3884,Q334204,P361-P527
Q3884,Q744149,P127-P1830
Q3884,Q3511885,P361-P527
Q3884,Q173395,P361-P527
Q3884,Q173395,P463-P112
Q3884,Q173395,P463-P527
Q3884,Q37156,P127-P1830
Q3884,Q37156,P463-P527
Q3884,Q37156,P463-P527
Q3884,Q3295867,P127-P1830
Q3884,Q128896,P463-P527
Q3884,Q212405,P127-P1830
Q3884,Q333718,P127-P1830
Q3884,Q333718,P3320-P108
Q3884,Q715583,P361-P527
Q3884,Q907311,P1830-P1535
Q3884,Q156238,P127-P1830
Q3884,Q907311,P1056-P1535
Q3884,Q907311,P463-P112
Q3884,Q907311,P463-P112
Q3884,Q907311,P463-P527
Q3884,Q192314,P127-P1830
Q3884,Q19900,P127-P1830
Q3884,Q907311,P355-P1535
Q3884,Q907311,P127-P1830
Q3884,Q478214,P361-P527
Q3884,Q20800404,P127-P1830
Q3884,Q555925,P361-P527
Q3884,Q555925,P463-P527
Q3884,Q312,P361-P527
Q3884,Q312,P463-P527
Q3884,Q20800404,P361-P527
Q3884,Q2283,P127-P1830
Q3884,Q2283,P361-P527
Q3884,Q2283,P361-P527
Q3884,Q2283,P463-P112
Q3884,Q2283,P463-P112
Q3884,Q2283,P463-P527
Q3884,Q380,P361-P527
Q3884,Q380,P361-P527
Q3884,Q380,P361-P527
Q3884,Q380,P463-P527
Q3884,Q312,P127-P1830
Q3884,Q312,P31-P5869
Q3884,Q2283,P3320-P108
Q3884,Q182477,P127-P1830
Q3884,Q182477,P361-P527
Q3884,Q182477,P463-P527
Q3884,Q312,P3320-P108
Q7240,Q663596,P127-P1830
Q7240,Q1159256,P127-P1830
Q7414,Q1159256,P127-P1830
Q7414,Q663596,P127-P1830
Q7240,Q338825,P361-P527
Q7414,Q467752,P127-P1830
Q7240,Q66,P1830-P127
Q7240,Q66,P1830-P749
Q7240,Q66,P1830-P127
Q7240,Q467752,P127-P1830
Q7414,Q219508,P127-P1830
Q7240,Q219635,P127-P127
Q7414,Q219635,P127-P127
Q7240,Q219635,P127-P127
Q7240,Q248,P127-P1830
Q7414,Q248,P127-P1830
Q7240,Q7414,P127-P1830
Q7240,Q219508,P127-P1830
Q7240,Q35476,P3320-P1416
Q7240,Q7414,P361-P527
Q7240,Q334800,P127-P1830
Q7414,Q334800,P127-P1830
Q7240,Q38076,P361-P527
Q7240,Q194360,P3320-P108
Q7414,Q38076,P31-P5869
Q7240,Q38076,P31-P5869
Q7240,Q194360,P127-P1830
Q7414,Q194360,P127-P1830
Q7240,Q334204,P361-P527
Q7240,Q37156,P127-P1830
Q7240,Q744149,P127-P1830
Q7414,Q744149,P127-P1830
Q7414,Q37156,P127-P1830
Q7414,Q3295867,P127-P1830
Q7240,Q3295867,P127-P1830
Q7414,Q212405,P127-P1830
Q7240,Q212405,P127-P1830
Q7240,Q333718,P127-P1830
Q7414,Q333718,P127-P1830
Q7414,Q156238,P127-P1830
Q7240,Q156238,P127-P1830
Q7414,Q907311,P127-P1830
Q7240,Q907311,P127-P1830
Q7240,Q192314,P127-P1830
Q7414,Q192314,P127-P1830
Q7414,Q19900,P127-P1830
Q7240,Q19900,P127-P1830
Q7240,Q380,P361-P527
Q7240,Q380,P361-P527
Q7240,Q20800404,P127-P1830
Q7240,Q2283,P361-P527
Q7240,Q2283,P127-P1830
Q7414,Q2283,P127-P1830
Q7240,Q312,P127-P1830
Q7240,Q312,P31-P5869
Q7414,Q3884,P127-P1830
Q7414,Q312,P127-P1830
Q7414,Q312,P31-P5869
Q7414,Q483915,P3320-P108
Q7414,Q483915,P3320-P1416
Q7414,Q182477,P127-P1830
Q7414,Q20800404,P127-P1830
Q7240,Q182477,P127-P1830
Q7414,Q483915,P361-P527
Q7414,Q483915,P488-P108
Q7414,Q483915,P488-P1416
Q7240,Q3884,P127-P1830
Q7414,Q898208,P361-P527
Q7414,Q338825,P361-P527
Q7414,Q470517,P361-P527
Q7414,Q467752,P361-P527
Q7414,Q66,P361-P527
Q7414,Q248,P361-P527
Q7414,Q219635,P127-P127
Q7414,Q247489,P361-P527
Q7414,Q38076,P361-P527
Q7414,Q38076,P361-P527
Q7414,Q194360,P361-P527
Q7414,Q459965,P361-P527
Q7414,Q941127,P361-P527
Q7414,Q193326,P361-P527
Q7414,Q173395,P361-P527
Q7414,Q37156,P361-P527
Q7414,Q334204,P361-P527
Q7414,Q319642,P361-P527
Q7414,Q3295867,P361-P527
Q7414,Q2103926,P361-P527
Q7414,Q212405,P361-P527
Q7414,Q864407,P361-P527
Q7414,Q489921,P3320-P1416
Q7414,Q333718,P361-P527
Q7414,Q192314,P361-P527
Q7414,Q483551,P361-P527
Q7414,Q328840,P361-P527
Q7414,Q19900,P3320-P108
Q7414,Q19900,P3320-P463
Q7414,Q312,P361-P527
Q7414,Q380,P361-P527
Q7414,Q380,P361-P527
Q7414,Q2283,P361-P527
Q7414,Q2283,P361-P527
Q11463,Q1113804,P3320-P108
Q11463,Q1113804,P361-P527
Q11463,Q1159256,P127-P1830
Q19900,Q1159256,P127-P1830
Q11463,Q663596,P127-P1830
Q11463,Q338825,P361-P527
Q19900,Q663596,P127-P1830
Q11463,Q467752,P127-P1830
Q19900,Q467752,P127-P1830
Q11463,Q544847,P3320-P108
Q11463,Q544847,P3320-P1416
Q11463,Q248,P463-P112
Q11463,Q248,P463-P527
Q11463,Q219635,P127-P127
Q11463,Q219635,P127-P127
Q19900,Q248,P127-P1830
Q11463,Q248,P127-P1830
Q11463,Q544847,P361-P527
Q11463,Q219508,P127-P1830
Q19900,Q219508,P127-P1830
Q11463,Q7414,P127-P1830
Q11463,Q334800,P361-P527
Q19900,Q334800,P127-P1830
Q19900,Q7414,P127-P1830
Q11463,Q7414,P361-P527
Q11463,Q38076,P361-P527
Q19900,Q38076,P31-P5869
Q11463,Q38076,P31-P5869
Q11463,Q334800,P127-P1830
Q11463,Q194360,P127-P1830
Q19900,Q194360,P127-P1830
Q11463,Q3511885,P361-P527
Q11463,Q334204,P361-P527
Q19900,Q744149,P127-P1830
Q11463,Q37156,P463-P527
Q11463,Q37156,P463-P527
Q11463,Q744149,P127-P1830
Q11463,Q37156,P127-P1830
Q19900,Q37156,P127-P1830
Q11463,Q173395,P361-P527
Q11463,Q173395,P463-P112
Q11463,Q173395,P463-P527
Q19900,Q3295867,P127-P1830
Q19900,Q212405,P127-P1830
Q11463,Q212405,P127-P1830
Q11463,Q3295867,P127-P1830
Q11463,Q128896,P463-P527
Q11463,Q715583,P361-P527
Q19900,Q907311,P127-P1830
Q19900,Q333718,P127-P1830
Q11463,Q333718,P127-P1830
Q11463,Q156238,P127-P1830
Q11463,Q907311,P3320-P108
Q19900,Q156238,P127-P1830
Q11463,Q192314,P127-P1830
Q11463,Q907311,P127-P1830
Q11463,Q907311,P463-P112
Q11463,Q907311,P463-P527
Q11463,Q19900,P127-P1830
Q19900,Q192314,P127-P1830
Q11463,Q20800404,P361-P527
Q11463,Q20800404,P127-P1830
Q19900,Q3884,P127-P1830
Q11463,Q380,P361-P527
Q11463,Q380,P361-P527
Q11463,Q380,P361-P527
Q11463,Q380,P463-P527
Q19900,Q20800404,P127-P1830
Q11463,Q478214,P361-P527
Q19900,Q2283,P127-P1830
Q11463,Q3884,P361-P527
Q11463,Q3884,P127-P1830
Q11463,Q3884,P463-P112
Q11463,Q3884,P463-P527
Q11463,Q312,P1830-P127
Q11463,Q555925,P361-P527
Q11463,Q555925,P463-P527
Q11463,Q312,P31-P5869
Q11463,Q2283,P1830-P127
Q11463,Q312,P361-P527
Q11463,Q312,P127-P1830
Q11463,Q312,P463-P527
Q19900,Q312,P127-P1830
Q19900,Q312,P31-P5869
Q11463,Q2283,P361-P527
Q11463,Q2283,P361-P527
Q11463,Q2283,P127-P1830
Q11463,Q2283,P463-P112
Q11463,Q2283,P463-P527
Q19900,Q182477,P127-P1830
Q11463,Q182477,P361-P527
Q11463,Q182477,P127-P1830
Q11463,Q182477,P463-P527
Q19900,Q11463,P3320-P108
Q35476,Q338825,P361-P527
Q35476,Q1159256,P127-P1830
Q19900,Q338825,P361-P527
Q35476,Q663596,P127-P1830
Q35476,Q467752,P127-P1830
Q35476,Q248,P127-P1830
Q19900,Q248,P3320-P108
Q35476,Q219508,P127-P1830
Q35476,Q219635,P127-P127
Q35476,Q219635,P127-P127
Q35476,Q7414,P361-P527
Q35476,Q7414,P127-P1830
Q19900,Q7414,P361-P527
Q35476,Q334800,P127-P1830
Q35476,Q194360,P127-P1830
Q35476,Q38076,P361-P527
Q35476,Q38076,P31-P5869
Q19900,Q38076,P361-P527
Q19900,Q334204,P361-P527
Q35476,Q334204,P361-P527
Q19900,Q37156,P463-P527
Q35476,Q744149,P127-P1830
Q35476,Q37156,P127-P1830
Q35476,Q3295867,P127-P1830
Q35476,Q212405,P127-P1830
Q35476,Q156238,P127-P1830
Q35476,Q333718,P127-P1830
Q35476,Q19900,P127-P1830
Q35476,Q192314,P127-P1830
Q35476,Q907311,P127-P1830
Q35476,Q20800404,P127-P1830
Q35476,Q380,P361-P527
Q35476,Q380,P361-P527
Q35476,Q2283,P127-P1830
Q35476,Q182477,P127-P1830
Q19900,Q2283,P361-P527
Q19900,Q2283,P3320-P108
Q35476,Q312,P127-P1830
Q35476,Q312,P31-P5869
Q35476,Q3884,P127-P1830
Q19900,Q380,P361-P527
Q19900,Q380,P361-P527
Q35476,Q2283,P361-P527
Q37156,Q483915,P3679-P527
Q37156,Q483915,P361-P527
Q37156,Q898208,P3679-P527
Q37156,Q898208,P361-P527
Q37156,Q663596,P127-P1830
Q37156,Q1159256,P127-P1830
Q37156,Q11463,P463-P527
Q37156,Q338825,P361-P527
Q37156,Q470517,P361-P527
Q37156,Q467752,P361-P527
Q37156,Q470517,P3679-P527
Q37156,Q66,P3679-P527
Q37156,Q467752,P127-P1830
Q37156,Q467752,P3679-P527
Q37156,Q66,P361-P527
Q37156,Q248,P127-P1830
Q37156,Q248,P361-P527
Q37156,Q248,P463-P112
Q37156,Q248,P463-P527
Q37156,Q248,P3679-P527
Q37156,Q7414,P3679-P527
Q37156,Q219508,P127-P1830
Q37156,Q7414,P127-P1830
Q37156,Q334800,P127-P1830
Q37156,Q7414,P361-P527
Q37156,Q7414,P361-P527
Q37156,Q38076,P361-P527
Q37156,Q38076,P361-P527
Q37156,Q194360,P3679-P527
Q37156,Q38076,P31-P5869
Q37156,Q194360,P127-P1830
Q37156,Q194360,P127-P1830
Q37156,Q194360,P361-P527
Q37156,Q247489,P3679-P527
Q37156,Q941127,P3679-P527
Q37156,Q38076,P3679-P527
Q37156,Q247489,P361-P527
Q37156,Q459965,P3679-P527
Q37156,Q193326,P361-P527
Q37156,Q459965,P361-P527
